unmittelbare Anstellung,Q506999,,Q-1770 Person,1771,1772,neu / weg / unverändert / andere Quali,Qualifikation 1,Qualifikation 2,Qualifikation 3,Qualifikation 4,,Ort,Titel,Adlesrang,Vorname1,Vorname2,Vorname3,Vorname4,Vorname5,Nachname
Herzogliches Geheimde-Raths-Collegium,,,Q452246,Friedrich Carl von Lichtenstein,Friedrich Carl von Lichtenstein,unnverändert,Wirlicher Geheimer Rat,Oberaufseher zu Eisenberg,,,,Eisenberg,Seine Excellenz,,,,,,,
Herzogliches Geheimde-Raths-Collegium,Q506753,,Q506996,Friedrich von Schwarzenfels,Friedrich von Schwarzenfels,unnverändert,Wirlicher Geheimer Rat,Cammepräsident,Landschaftsdirektot,Obersteuereinnehmer zu Altenburg,,Altenburg,Seine Excellenz,,,,,,,
Herzogliches Geheimde-Raths-Collegium,Q506753,,,Sylvius Friedrich Ludwig von Frankenberg,Sylvius Friedrich Ludwig von Frankenberg,andere Qualli,Wirlicher Geheimer Rat,Amtshauptmann der Aemter Leuchtenburg  und Orlamünde,,,,,Seine Excellenz,,,,,,,
Herzogliches Geheimde-Raths-Collegium,Q506753,,Q506999,Johann von Rothkirch und Trach,Johann von Rothkirch und Trach,unnverändert,Wirlicher Geheimer Rat,Canzler zu Altenburg,,,,Altenburg,Seine Excellenz,,,,,,,
Geheimer Assistenz-Rat ,Q506787,,,Heinrich Ernst Gotter,Heinrich Ernst Gotter,unnverändert,,,,,,,,,,,,,,
Deutsche Expedition,Q506890,,Q506997,,,weg,,,,,,,Seine Excellenz,,,,,,,
Deutsche Expedition,Q506890,,Q101872,,,weg,,,,,,,,,,,,,,
Deutsche Expedition,Q506890,,Q452246,,,weg,,,,,,,,,,,,,,
Deutsche Expedition,Q506890,,Q506998,,,weg,Geheimer Sekretär,,,,,,,,,,,,,
Deutsche Expedition,Q506890,,Q506999,,,weg,Geheimer Kanzleisekretär,,,,,,,,,,,,,
Deutsche Expedition,Q506890,,,,,,,,,,,,,,,,,,,
Deutsche Expedition,Q506890,,,Johann Christian von Hoff,Johann Christian von Hoff,unverändert,Legitions-Rath,,,,,,,,,,,,,
Deutsche Expedition,Q506890,,,Friedrich Heinrich Carl Lauretti,Friedrich Heinrich Carl Lauretti,unverändert,Geheimer Canzley-Secetarius,,,,,,,,,,,,,
Deutsche Expedition,Q506890,,,Johann Friedrich Wilhelm Gotter,Johann Friedrich Wilhelm Gotter,unverändert,Legitions-Secetarius,,,,,,,,,,,,,
Deutsche Expedition,Q506890,,,Johann Siegmund Friedrich Waiß,Johann Siegmund Friedrich Waiß,unverändert,Geheimer Canzley-Secetarius,,,,,,,,,,,,,
Deutsche Expedition,Q506890,,,Abraham Samuel Perrin,Abraham Samuel Perrin,unverändert,Geheimer Post-Secetarius,,,,,,,,,,,,,
Deutsche Expedition,Q506890,,,Philipp Friedrich Welker,Philipp Friedrich Welker,unverändert,Registrator,,,,,,,,,,,,,
Deutsche Expedition,Q506890,,,Johann Christph Bernhard Rotschiedler,Johann Christph Bernhard Rotschiedler,unverändert,Geheimer Canzley-Actuarius,,,,,,,,,,,,,
Deutsche Expedition,Q506890,,,Michael Siegmund Christian Weißenborn,Michael Siegmund Christian Weißenborn,unverändert,Geheimer Canzley-Actuarius,,,,,,,,,,,,,
Deutsche Expedition,Q506890,,,Christian Ernst Angelroth,Christian Ernst Angelroth,unverändert,Canzlist,,,,,,,,,,,,,
Französische Expedition,Q506891,,,Jaoqunes Auguste Roussenau,Jaoqunes Auguste Roussenau,andere Quali,Hofrath,,,,,,,,,,,,,
Französische Expedition,Q506891,,,Abraham Samuel Perrin,Abraham Samuel Perrin,unverändert,Geheimer Post-Secetarius,,,,,,,,,,,,,
Geheime Canzlei Bothen,Q506893,,,Johannes Georg Döring,Johannes Georg Döring,unverändert,,,,,,,,,,,,,,
Geheime Canzlei Bothen,Q506893,,,Michael Meißner,Michael Meißner,unverändert,,,,,,,,,,,,,,
Geheime Canzlei Bothen,Q506893,,,August Jacob Hild,August Jacob Hild,unverändert,Substitut,,,,,,,,,,,,,
Geheimes Archiv,Q506894,,,Ludwig Christian Lichtenberg,Ludwig Christian Lichtenberg,andere Quali,erster Geheimer Archivarius,,,,,,,,,,,,,
Geheimes Archiv,Q506894,,,Johann Friedrich Wilhelm Gotter,Johann Friedrich Wilhelm Gotter,andere Quali,Legations Secretarius,zweiter Geheimer Archivarius,,,,,,,,,,,,
Geheimes Archiv,Q506894,,,Johann Siegmund Friedrich Waiß,Johann Siegmund Friedrich Waiß,andere Quali,Geh. Canzley Secret.,,,,,,,,,,,,,
Geheimes Archiv,Q506894,,,Philipp Friedrich Welker,Philipp Friedrich Welker,andere Quali,Registrator,,,,,,,,,,,,,
Geheimes Archiv,Q506894,,,Johann Carl Friedrich Jenichen,Johann Carl Friedrich Jenichen,unverändert,Geh. Archiv Actuarius,,,,,,,,,,,,,
Herzogliche Landes-Regierung zu Gotha,Q506759,,,Ernst August von Studnitz,Ernst August von Studnitz,unverändert,Wirklicher geheimer Rat,Canzler,,,,Gotha,,,,,,,,
Herzogliche Landes-Regierung zu Gotha,Q506759,,,Johann Christoph Gensel,Johann Christoph Gensel,unverändert,Geheimer Reierungsrath,,,,,,,,,,,,,
Herzogliche Landes-Regierung zu Gotha,Q506759,,,Georg Heinrich Hessen,Georg Heinrich Hessen,unverändert,Hofrat,,,,,,,,,,,,,
