1,unmittelbare Anstellung,Q506999,,Q-1770 Person,1778,1779,neu / weg / unverändert / andere Quali,Qualifikation 1,Qualifikation 2,Qualifikation 3,Qualifikation 4,Qualifikation 3,Qualifikation 4,Qualifikation 5,Ort,,Titel,Adlesrang,Vorname1,Vorname2,Vorname3,Vorname4,Vorname5,Nachname
2,Herzogliches Geheimde-Raths-Collegium,Q506753,,Q452246,Friedrich Carl von Lichtenstein,Friedrich Carl von Lichtenstein,unnverändert,Wirlicher Geheimer Rat,Oberaufseher zu Eisenberg,,,,,,Eisenberg,,Seine Excellenz,,,,,,,
3,Herzogliches Geheimde-Raths-Collegium,Q506753,,Q28057,Sylvius Friedrich Ludwig von Frankenberg,Sylvius Friedrich Ludwig von Frankenberg,unnverändert,Wirlicher Geheimer Rat,Amtshauptmann der Aemter Leuchtenburg  und Orlamünde,,,,,,,,Seine Excellenz,,,,,,,
4,Herzogliches Geheimde-Raths-Collegium,Q506753,,Q506999,Johann von Rothkirch und Trach,Johann von Rothkirch und Trach,unnverändert,Wirlicher Geheimer Rat,Canzler zu Altenburg,,,,,,Altenburg,,Seine Excellenz,,,,,,,
5,Herzogliches Geheimde-Raths-Collegium,Q506753,,Q28051,Wilhelm von Rotberg,Wilhelm von Rotberg,unnverändert,Wirlicher Geheimer Rat,Ober-Hofmeister,,,,,,,,Seine Excellenz,,,,,,,
6,Herzogliches Geheimde-Raths-Collegium,Q506753,,Q513415,Friedrich Heinrich von Einsiedel,Friedrich Heinrich von Einsiedel,unnverändert,Wirlicher Geheimer Rat,Ober-Steuer Direktor zu Altenburg,,,,,,,,Seine Excellenz,,,,,,,
7,Herzogliches Geheimde-Raths-Collegium,Q506753,,,Ernst August von Studenitz,Ernst August von Studenitz,unnverändert,Wirlicher Geheimer Rat,Canzler,,,,,,,,Seine Excellenz,,,,,,,
8,Deutsche Expedition,Q506890,,Q18708,Johann Christian von Hoff,Johann Christian von Hof,unverändert,Legitions-Rath,,,,,,,,,,,,,,,,
9,Deutsche Expedition,Q506890,,Q14201,Ludwig Christian Lichtenberg,Ludwig Christian Lichtenberg,unverändert,Geheimer -Secetarius,,,,,,,,,,,,,,,,
10,Deutsche Expedition,Q506890,,,Friedrich Heinrich Carl Lauretii,Friedrich Heinrich Carl Lauretii,unverändert,Geheimer Canzley-Secetarius,,,,,,,,,,,,,,,,
11,Deutsche Expedition,Q506890,,Q10781,Johann Friedrich Wilhelm Gotter,Johann Friedrich Wilhelm Gotter,unverändert,Legitions-Secetarius,,,,,,,,,,,,,,,,
12,Deutsche Expedition,Q506890,,Q507011,Johann Siegmund Friedrich Waiß,Johann Siegmund Friedrich Waiß,unverändert,Geheimer Canzley-Secetarius,,,,,,,,,,,,,,,,
13,Deutsche Expedition,Q506890,,Q507003,Abraham Samuel Perrin,Abraham Samuel Perrin,unverändert,Geheimer Post-Secetarius,,,,,,,,,,,,,,,,
14,Deutsche Expedition,Q506890,,Q99153,Philipp Friedrich Welker,Philipp Friedrich Welker,unverändert,Geheimer Archivar,,,,,,,,,,,,,,,,
15,Deutsche Expedition,Q506890,,,Johann Carl Friedrich Jenichen,Johann Carl Friedrich Jenichen,unverändert,Legat. Secretar,,,,,,,,,,,,,,,,
16,Deutsche Expedition,Q506890,,Q507006,Michael Siegmund Christian Weißenborn,Michael Siegmund Christian Weißenborn,neuandere Quali,Geheimer Bothenmeister,,,,,,,,,,,,,,,,
17,Deutsche Expedition,Q506890,,,Ernst Friedrich Schneider,Ernst Friedrich Schneider,neuandere Quali,Geheimer Registrator,,,,,,,,,,,,,,,,
18,Deutsche Expedition,Q506890,,,Christian Ernst Angelroth,Christian Ernst Angelroth,neuandere Quali,Geheimer Canzley-Registrator,,,,,,,,,,,,,,,,
19,Deutsche Expedition,Q506890,,,Friedrich Wilhelm Pitschel,Friedrich Wilhelm Pitschel,neuandere Quali,Geheimer Canzley-Actuarius,,,,,,,,,,,,,,,,
